,Unnamed: 0.2,Tweets,Fecha,urls,urls_reales,medios,Tweets_sin_url,cluster,RT
26,82278,"Para un economista de Alberto Fernández, ""la deuda es como la falopa"" - https://t.co/lQWNitl0HC",Wed Aug 21 16:42:22 +0000 2019,https://t.co/lQWNitl0HC,http://bit.ly/2MuK5dD?fromRef=twitter,False,"Para un economista de Alberto Fernández, ""la deuda es como la falopa"" - ",True,False
27,82351,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata” https://t.co/x8JEdh1TRS https://t.co/tR1eMbCcGl",Wed Aug 21 17:00:25 +0000 2019,https://t.co/x8JEdh1TRS,http://bit.ly/2L3s6YP,False,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata”  https://t.co/tR1eMbCcGl",True,False
28,82428,"Un economista de Alberto Fernández comparó la ""deuda"" con la ""falopa"" y se arrepintió https://t.co/V64yo6dQhK vía @todonoticias el economista preferido de Aníbal",Wed Aug 21 17:18:29 +0000 2019,https://t.co/V64yo6dQhK,https://tn.com.ar/politica/emmanuel-alvarez-agis-la-deuda-es-como-la-falopa-al-principio-es-rica-pero-despues-te-mata_988076,False,"Un economista de Alberto Fernández comparó la ""deuda"" con la ""falopa"" y se arrepintió  vía @todonoticias el economista preferido de Aníbal",True,False
29,82531,"Estos son los economistas de Alberto Fernandez: 
 Emanuel Agis:"" La deuda es como la falopa, al principio es rica y después te mata "".
#DDM 
#SalvemosLaRepublica
#NoVotesInmorales",Wed Aug 21 17:43:05 +0000 2019,0,0,False,"Estos son los economistas de Alberto Fernandez: 
 Emanuel Agis:"" La deuda es como la falopa, al principio es rica y después te mata "".
#DDM 
#SalvemosLaRepublica
#NoVotesInmorales",True,False
30,82534,"“La deuda es como la falopa: al principio es rica pero después te mata”, aseguró un economista de Alberto Fernández https://t.co/AUU4T11wZo vía @telefecordoba",Wed Aug 21 17:46:15 +0000 2019,https://t.co/AUU4T11wZo,http://cordoba.telefe.com/politica/la-deuda-es-como-la-falopa-al-principio-es-rica-pero-despues-te-mata-aseguro-un-economista-de-alberto-fernandez/,False,"“La deuda es como la falopa: al principio es rica pero después te mata”, aseguró un economista de Alberto Fernández  vía @telefecordoba",True,False
31,82537,"Palabras de Alberto Fernandez “la deuda es como la falopa, al principio es rica y después te mata” si votan a esto estan igual o mas chapita q el, lo dice un candidato a PRESIDENTE. Vergüenza total",Wed Aug 21 17:45:57 +0000 2019,0,0,False,"Palabras de Alberto Fernandez “la deuda es como la falopa, al principio es rica y después te mata” si votan a esto estan igual o mas chapita q el, lo dice un candidato a PRESIDENTE. Vergüenza total",True,False
32,82547,"Palabras de Alberto Fernandez “la deuda es como la falopa, al principio es rica y después te mata” si votan a esto estan igual o mas chapita q el, lo dice un candidato a PRESIDENTE.
 Vergüenza ajena",Wed Aug 21 17:48:24 +0000 2019,0,0,False,"Palabras de Alberto Fernandez “la deuda es como la falopa, al principio es rica y después te mata” si votan a esto estan igual o mas chapita q el, lo dice un candidato a PRESIDENTE.
 Vergüenza ajena",True,False
33,82613,"Emanuel Alvarez agis , economista de Alberto Fernández dice : la deuda es como la falopa al principio es rica pero después te mata 😂😂😂  
Ema sos un crak",Wed Aug 21 18:07:58 +0000 2019,0,0,False,"Emanuel Alvarez agis , economista de Alberto Fernández dice : la deuda es como la falopa al principio es rica pero después te mata 😂😂😂  
Ema sos un crak",True,False
34,83017,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata” https://t.co/x8JEdh1TRS https://t.co/Ihywv2Dups",Wed Aug 21 20:14:27 +0000 2019,https://t.co/x8JEdh1TRS,http://bit.ly/2L3s6YP,False,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata”  https://t.co/Ihywv2Dups",True,False
35,83592,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández... https://t.co/oPtf8XGcMX https://t.co/6m0YqqoG3D",Wed Aug 21 22:56:02 +0000 2019,https://t.co/oPtf8XGcMX,http://isb.gs/jvURSA,False,"""La deuda es como la falopa"": la fuerte comparación de un economista de Alberto Fernández...  https://t.co/6m0YqqoG3D",True,False
