,Unnamed: 0,Tweets,Fecha,urls,medios,link_nacionales
8477490,1796858,Está diciendo las mismas boludeces que decía Massa. El director de la película decidió cambiar al actor. https://t.co/rRANtNs8R3,Thu Mar 21 13:58:35 +0000 2019,https://www.clarin.com/politica/paso-lavagna-dispuesto-presidente-gobierno-unidad-nacional_0_N_WwdTy9g.html,False,True
8481209,1800577,"Otro paso de Lavagna: ""Estoy dispuesto a ser presidente de un gobierno de unidad nacional"" https://t.co/ghTJVWFZ1J",Thu Mar 21 14:49:02 +0000 2019,https://www.clarin.com/politica/paso-lavagna-dispuesto-presidente-gobierno-unidad-nacional_0_N_WwdTy9g.html,False,True
8481564,1800932,"La Justicia ordenó buscar a Susana Trimarco, que debe declarar por fondos recibidos en el kirchnerismo https://t.co/R4wSDY3hfm",Thu Mar 21 14:50:22 +0000 2019,https://www.clarin.com/politica/justicia-ordeno-buscar-susana-trimarco-debe-declarar-fondos-recibidos-kirchnerismo_0_GuUYUOmtm.html,False,True
8483410,1802778,"""Lavagna es el candidato que no expulsa votos"" del peronismo, asegura Guillermo Moreno https://t.co/AoEsfuBGip https://t.co/ghHE19WmXO",Thu Mar 21 15:20:03 +0000 2019,https://www.telam.com.ar/notas/201903/342732-lavagna-es-el-candidato-que-no-expulsa-votos-del-peronismo-asegura-guillermo-moreno.html,False,True
8492480,1811846,"@agradecermaria @mauriciomacri Dijo esto , sin datos concretos
https://t.co/zbyeAnObqL",Thu Mar 21 17:13:07 +0000 2019,https://www.clarin.com/politica/margarita-barrientos-advierte-pais-fundido-pide-macri-as-manga-saque_0_g9PD4QA2Q.html,False,True
8492482,1811848,"https://t.co/jdIarevSa8

Ni “UCR”, ni “PRO” ni el partidito que se hizo para él @alfarogerman. Tampoco “Cambiemos”.… https://t.co/Vn0LL2KfQ3",Thu Mar 21 17:13:07 +0000 2019,https://www.lagaceta.com.ar/nota/801131/actualidad/sin-ucr-pro-ni-nombre-cambiemos-se-presento-frente-electoral-macrismo.html,False,True
8492555,1811921,"@_paulitad @mauriciomacri esto 
https://t.co/zbyeAnObqL",Thu Mar 21 17:14:03 +0000 2019,https://www.clarin.com/politica/margarita-barrientos-advierte-pais-fundido-pide-macri-as-manga-saque_0_g9PD4QA2Q.html,False,True
8498240,1817606,"@fuzzedi @mauriciomacri https://t.co/NAuop3G11u

Yo no se si es una gastada o que carajos. Es lamentable.",Thu Mar 21 18:28:46 +0000 2019,https://www.infobae.com/politica/2019/03/21/macri-en-clave-electoral-estoy-caliente-porque-escucho-que-vuelven-a-proponer-una-solucion-magica/,False,True
8500704,1820070,"La Justicia ordenó buscar a Susana Trimarco, que debe declarar por fondos recibidos en el kirchnerismo. https://t.co/sXEF47XBxm @clarincom",Thu Mar 21 19:00:01 +0000 2019,https://www.clarin.com/politica/justicia-ordeno-buscar-susana-trimarco-debe-declarar-fondos-recibidos-kirchnerismo_0_GuUYUOmtm.html,False,True
8507212,1826578,"La Justicia ordenó buscar a Susana Trimarco, que debe declarar por fondos recibidos en el kirchnerismo https://t.co/uaJn9AcjiP",Thu Mar 21 20:37:38 +0000 2019,https://www.clarin.com/politica/justicia-ordeno-buscar-susana-trimarco-debe-declarar-fondos-recibidos-kirchnerismo_0_GuUYUOmtm.html,False,True
8519826,1839192,"Enrique Pescarmona: ""Con los Kirchner me pasó lo mismo que en el secuestro, tuve que pagar porque si no me mataban"" https://t.co/i7CnBXBF4g",Thu Mar 21 23:08:33 +0000 2019,https://www.infobae.com/politica/2018/10/24/enrique-pescarmona-con-los-kirchner-me-paso-lo-mismo-que-en-el-secuestro-tuve-que-pagar-porque-si-no-me-mataban/,False,True
8525807,1845173,"En un nuevo paso hacia su candidatura, Roberto Lavagna recibió a Ricardo Alfonsín https://t.co/Mc85AzAFOo",Fri Mar 22 00:26:13 +0000 2019,https://www.infobae.com/politica/2019/03/21/en-un-nuevo-paso-hacia-su-candidatura-roberto-lavagna-recibio-a-ricardo-alfonsin/,False,True
8527105,1846471,"En un nuevo paso hacia su candidatura, Roberto Lavagna recibió a Ricardo Alfonsín https://t.co/tdf1TaCQV7",Fri Mar 22 00:39:51 +0000 2019,https://www.infobae.com/politica/2019/03/21/en-un-nuevo-paso-hacia-su-candidatura-roberto-lavagna-recibio-a-ricardo-alfonsin/,False,True
8528698,1848064,“Ahí lo tenés al pelotudo” https://t.co/BbQGgvCDcg,Fri Mar 22 01:00:55 +0000 2019,https://www.infobae.com/politica/2019/03/21/en-un-nuevo-paso-hacia-su-candidatura-roberto-lavagna-recibio-a-ricardo-alfonsin/,False,True
8528937,1848303,"&gt;&gt;En un nuevo paso hacia su candidatura, Roberto Lavagna recibió a Ricardo Alfonsín &lt;&lt;  (#KiwiNews  )  https://t.co/tAdS0BUqjz",Fri Mar 22 00:58:34 +0000 2019,https://www.infobae.com/politica/2019/03/21/en-un-nuevo-paso-hacia-su-candidatura-roberto-lavagna-recibio-a-ricardo-alfonsin/,False,True
8536732,1856098,"No será mucho???    En un nuevo paso hacia su candidatura, Roberto Lavagna recibió a Ricardo Alfonsín https://t.co/SfzLA6ezhZ",Fri Mar 22 02:33:50 +0000 2019,https://www.infobae.com/politica/2019/03/21/en-un-nuevo-paso-hacia-su-candidatura-roberto-lavagna-recibio-a-ricardo-alfonsin/,False,True
8553830,1873196,"En un nuevo paso hacia su candidatura, Roberto Lavagna recibió a 🗣💨Ricardo Alfonsín https://t.co/nLzydlswzf",Fri Mar 22 10:20:35 +0000 2019,https://www.infobae.com/politica/2019/03/21/en-un-nuevo-paso-hacia-su-candidatura-roberto-lavagna-recibio-a-ricardo-alfonsin/,False,True
8554424,1873790,@mauriciomacri No afloje caballero https://t.co/NDmZb0HCuu,Fri Mar 22 10:41:00 +0000 2019,https://www.pagina12.com.ar/182502-mal-comienzo-de-ano-para-la-industria,False,True
8554515,1873881,Que lacra es el Peronismo.  https://t.co/bnKrCDXrcz,Fri Mar 22 10:44:15 +0000 2019,https://www.lanacion.com.ar/politica/se-suspendieron-elecciones-la-rioja-nid2231063,False,True
8555754,1875120,"Dos potencias se saludan?
Jajaja no es joda jajaja
https://t.co/fQBaqMcDNz",Fri Mar 22 11:17:02 +0000 2019,https://www.infobae.com/politica/2019/03/21/en-un-nuevo-paso-hacia-su-candidatura-roberto-lavagna-recibio-a-ricardo-alfonsin/,False,True
8556544,1875910,"Ricardito iría como Ministro de Innovación.

https://t.co/bc7cX6mFAU",Fri Mar 22 11:32:09 +0000 2019,https://www.infobae.com/politica/2019/03/21/en-un-nuevo-paso-hacia-su-candidatura-roberto-lavagna-recibio-a-ricardo-alfonsin/,False,True
8557607,1876973,"En un nuevo paso hacia su candidatura, Roberto Lavagna recibió a Ricardo Alfonsín https://t.co/PgaZafj0Fn",Fri Mar 22 11:57:59 +0000 2019,https://www.infobae.com/politica/2019/03/21/en-un-nuevo-paso-hacia-su-candidatura-roberto-lavagna-recibio-a-ricardo-alfonsin/,False,True
8574889,1894255,"@mauriciomacri
Espero que le llegue la nota y el mensaje... 
https://t.co/IaAsqfpeQj",Fri Mar 22 16:13:39 +0000 2019,https://www.lanacion.com.ar/economia/el-llanto-del-suboficial-los-equipos-lazaro-nid2230805,False,True
8576363,1895729,"https://t.co/iTvoaKAAIs

Es la gente que lo presento, lo promociona y apoya...
@RLavagna es eso, los estertores de… https://t.co/cpcNXNkec9",Fri Mar 22 16:36:23 +0000 2019,https://www.lanacion.com.ar/economia/sebastian-galiani-si-equipo-lavagna-son-duhalde-nid2230525,False,True
8580380,1899746,https://t.co/TV4fKKS7BM @Gonzalo37652473 Asquerosos.,Fri Mar 22 17:25:02 +0000 2019,https://www.clarin.com/politica/kirchnerismo-peronismo-competiran-juntos-cambiemos-tierra-fuego_0_PQA85x8ZM.html,False,True
8585207,1904573,Un obrero le hizo la V a Macri | El Presidente pasó otro mal momento con un trabajador https://t.co/YiEC1PqJVD,Fri Mar 22 18:29:05 +0000 2019,https://www.pagina12.com.ar/182620-un-obrero-le-hizo-la-v-a-macri,False,True
8585789,1905155,SON LO MISMO.El kirchnerismo y el peronismo competirán juntos contra Cambiemos en Tierra del Fuego https://t.co/akxksMTfkU,Fri Mar 22 18:32:39 +0000 2019,https://www.clarin.com/politica/kirchnerismo-peronismo-competiran-juntos-cambiemos-tierra-fuego_0_PQA85x8ZM.html,False,True
8587775,1907141,Un obrero le hizo la V a Macri | El Presidente pasó otro mal momento con un trabajador https://t.co/HaBBxC9qDV,Fri Mar 22 19:03:33 +0000 2019,https://www.pagina12.com.ar/182620-un-obrero-le-hizo-la-v-a-macri,False,True
8588675,1908041,Un obrero le hizo la V a Macri | El Presidente pasó otro mal momento con un trabajador https://t.co/0U64tcjCT3,Fri Mar 22 19:21:24 +0000 2019,https://www.pagina12.com.ar/182620-un-obrero-le-hizo-la-v-a-macri,False,True
8589403,1908769,Un obrero le hizo la V a Macri | El Presidente pasó otro mal momento con un trabajador https://t.co/2lcDgVMNcF,Fri Mar 22 19:22:12 +0000 2019,https://www.pagina12.com.ar/182620-un-obrero-le-hizo-la-v-a-macri,False,True
8589940,1909306,Un obrero le hizo la V a Macri | El Presidente pasó otro mal momento con un trabajador https://t.co/WSJvvsp1Xd,Fri Mar 22 19:32:19 +0000 2019,https://www.pagina12.com.ar/182620-un-obrero-le-hizo-la-v-a-macri,False,True
8618589,1937955,"En un nuevo paso hacia su candidatura, Roberto Lavagna recibió a Ricardo Alfonsín - Infobae https://t.co/7mouMEAzth",Sat Mar 23 01:24:51 +0000 2019,https://www.infobae.com/politica/2019/03/21/en-un-nuevo-paso-hacia-su-candidatura-roberto-lavagna-recibio-a-ricardo-alfonsin/,False,True
8638101,1957467,Los mismos de siempre https://t.co/6SJsQmCBJO,Sat Mar 23 08:56:45 +0000 2019,https://www.lanacion.com.ar/politica/cortocircuitos-entre-duhalde-y-lavagna-por-cristina-y-por-las-paso-nid2231315,False,True
8642768,1962134,"@IvanaTigre Es obvio. Impunidad. Miren como lo unico que les preocupa es que no se note tanto.
https://t.co/MhR8sbehtb",Sat Mar 23 12:01:20 +0000 2019,https://www.lanacion.com.ar/politica/cortocircuitos-entre-duhalde-y-lavagna-por-cristina-y-por-las-paso-nid2231315,False,True
8642945,1962311,Cortocircuitos entre Duhalde y Lavagna por Cristina y por las PASO    https://t.co/SCQ6h4iH3d,Sat Mar 23 12:11:33 +0000 2019,https://www.lanacion.com.ar/politica/cortocircuitos-entre-duhalde-y-lavagna-por-cristina-y-por-las-paso-nid2231315,False,True
