,Tweets,Fecha,urls,medios
980622,#BuenMiercoles Cambiemos favorece a los exportadores y a los bancos son los que día a día se llevan nuestro salario?,Wed Mar 27 12:23:45 +0000 2019,,False
991030,@OrwellGeorge Puede ser pero es necesario. Cambiemos no tiene reglas de funcionamiento interno y se debe entender cuál es el costo de eso.,Fri Mar 29 12:00:49 +0000 2019,,False
17331,"Mi padre era parte de un sistema extorsivo del kirchnerismo en el que para trabajar había que pagar.
Ahora ante la… https://t.co/p1tVkOyUCO",Wed Mar 27 17:29:13 +0000 2019,https://twitter.com/i/web/status/1110956956829798400,False
149294,"@cucutze Hay tipos que se dedican a eso, hace unos años le pasó a un compañero de trabajo, también tuvo que pagar comisión",Fri Mar 29 01:28:40 +0000 2019,,False
549781,"La crisis por Gasto Publico tmb es por el peronismo que se colgaron cientos de camporas piketeros, cobrarian como empleados.",Sun Mar 31 01:48:31 +0000 2019,,False
552151,Electricaribe es una empresa extranjera que cobra cifras irrisorias por un servicio paupérrimo. Son unos ladrones y… https://t.co/KSAyIn6gzb,Sun Mar 31 02:25:29 +0000 2019,https://twitter.com/i/web/status/1112179075282624513,False
877719,"@veroloren Yo también pero todo comenzó con CFK, su inflación,el cepo y los ""independientes"" que nos quedamos sin trabajo pues sela llevaban",Sat Mar 02 11:37:40 +0000 2019,,False
1012597,"@altocandombe Porque los de CFK eran vagos y cobraban sin laburar, por eso eran felices obreros (?)",Mon Mar 25 21:55:20 +0000 2019,,False
1094551,"La crisis por Gasto Publico tmb es por el peronismo que se colgaron cientos de camporas piketeros, cobrarian como empleados.",Sun Mar 31 01:48:31 +0000 2019,,False
36791,"Amo que macri diga ""por lo que trabajamos"", si el infeliz nunca trabajo en su vida",Fri Mar 01 18:37:49 +0000 2019,,False
46279,"#Presimiente
#HayOtroCamino
#1M  

No es un fantasia ganar un buen sueldo, es algo muy justo. Macri te rebajo el sueldo.",Fri Mar 01 23:13:55 +0000 2019,,False
91492,"o sea todo bien con que cobres por tu trabajo, GENIAL, pero un plomero me quería cobrar 700pe para regular el cosit… https://t.co/VnPK5st7OP",Sun Mar 03 16:27:59 +0000 2019,https://twitter.com/i/web/status/1102244237817593856,False
133956,"@aacerbi Estamos hace décadas sometidos al robo de la patria contratista,al fraude de la estatización de las deudas… https://t.co/fTF5mP5M1l",Thu Mar 07 02:34:09 +0000 2019,https://twitter.com/i/web/status/1103483948448079877,False
166450,"macri en la fabrica, los trabajadores no paga sueldos al menos",Sun Mar 10 04:43:08 +0000 2019,,False
182156,"@WingEzker Difícil que le guste, en ¨Dinamarca macri tendría que pagar impuestos. . .",Mon Mar 11 15:07:59 +0000 2019,,False
191386,@LANACION Se acordaron de pagarle el sueldo al empleado de ustedes. Porque es un neoliberal enrolado traicioneramen… https://t.co/y5KIex2BBb,Tue Mar 12 04:14:44 +0000 2019,https://twitter.com/i/web/status/1105321199482085383,False
218734,Yo sé que uno por dinero y mejores condiciones laborales puede llegar a hacer cualquier cosa pero ABRAZAR A MACRI mmmm vs desis.,Thu Mar 14 15:02:40 +0000 2019,,False
222395,@LANACION Es por el stress que le generó ser gerente! Manejar un hotel en estos tiempos de Macri the cat es muy duro!,Thu Mar 14 20:10:47 +0000 2019,,False
252657,"Macri dijo que su padre ""era parte de un sistema extorsivo del kirchnerismo en el que para trabajar había que pagar… https://t.co/rz8mesl7wV",Sun Mar 17 22:41:03 +0000 2019,https://twitter.com/i/web/status/1107411551424786438,False
252754,"ˮEs un delito lo que hizo mi padre, él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar h… https://t.co/QBsAFyMd5Y",Sun Mar 17 22:57:10 +0000 2019,https://twitter.com/i/web/status/1107415606377222144,False
252782,"""Es un delito lo que hizo mi padre, él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar h… https://t.co/j7BhE4veDE",Sun Mar 17 22:54:27 +0000 2019,https://twitter.com/i/web/status/1107414926509903872,True
256654,"""Es un delito lo que hizo mi padre, él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar h… https://t.co/5JZPcIejjk",Mon Mar 18 01:06:04 +0000 2019,https://twitter.com/i/web/status/1107448046135185409,False
256707,"""Es un delito lo que hizo mi padre, él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar h… https://t.co/ODjvffaglo",Mon Mar 18 01:05:05 +0000 2019,https://twitter.com/i/web/status/1107447798709010432,True
257811,"""Es un delito lo que hizo mi padre, él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar h… https://t.co/PAvKoZueou",Mon Mar 18 01:47:21 +0000 2019,https://twitter.com/i/web/status/1107458435325538304,False
258117,"Mauricio Macri en #LaCornisa: ""Mi padre era parte de un sistema extorsivo del kirchnerismo en que para trabajar hab… https://t.co/p0Ogkbhtb6",Mon Mar 18 01:51:19 +0000 2019,https://twitter.com/i/web/status/1107459434199027713,False
259404,"""Él (Franco Macri) era parte de un sistema que se vio extorsionado por el kirchnerismo. Es un delito que cada uno s… https://t.co/1e7fnoZf00",Mon Mar 18 02:58:49 +0000 2019,https://twitter.com/i/web/status/1107476421881020416,False
260273,"Mauricio Macri: ""Mi padre era parte de un sistema extorsivo del kirchnerismo en que para trabajar había que pagar.… https://t.co/MT6oFTD8Oa",Mon Mar 18 03:48:27 +0000 2019,https://twitter.com/i/web/status/1107488911775985664,False
261736,"Las frases de Macri:
“Él (Franco Macri) era parte de un sistema que se vio extorsionado por el kirchnerismo. Es un… https://t.co/OwCBZDKVOY",Mon Mar 18 09:35:53 +0000 2019,https://twitter.com/i/web/status/1107576347503800320,False
261762,"Macri: ""Mi padre en la época del kirchnerismo para trabajar tenía que pagar"". O sea que Franco era un raro empresar… https://t.co/OUe7AQTOw3",Mon Mar 18 09:33:07 +0000 2019,https://twitter.com/i/web/status/1107575650603417600,False
261784,"“Es un delito lo que hizo mi padre, él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar h… https://t.co/dXv3fjsuGx",Mon Mar 18 09:37:45 +0000 2019,https://twitter.com/i/web/status/1107576817303633921,False
262966,"Acabo de leer que Macri declaró que su padre fue extorsionado por el kisnerismo "" para poder trabajar había que pag… https://t.co/D9pHU70xFg",Mon Mar 18 11:26:36 +0000 2019,https://twitter.com/i/web/status/1107604209522888704,False
263276,Mauricio Macri sobre su padre: “Él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar había… https://t.co/k1TBt7irPG,Mon Mar 18 11:47:35 +0000 2019,https://twitter.com/i/web/status/1107609491141550080,False
264801,Mauricio Macri sobre su padre: “Él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar había… https://t.co/YsU2XOokJc,Mon Mar 18 13:05:04 +0000 2019,https://twitter.com/i/web/status/1107628988443344897,False
265387,"Sobre Franco Macri llegó a decir que era ""parte de un sistema que se vio extorsionado por el kirchnerismo"". Total p… https://t.co/KJEQf0CFGh",Mon Mar 18 13:32:26 +0000 2019,https://twitter.com/i/web/status/1107635876136435713,False
268227,"""Es un delito lo que hizo mi padre, él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar h… https://t.co/x4HJDrob2m",Mon Mar 18 16:06:35 +0000 2019,https://twitter.com/i/web/status/1107674670860521472,False
268402,"""Es un delito lo que hizo mi padre, él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar h… https://t.co/7VqY89IWzu",Mon Mar 18 16:12:22 +0000 2019,https://twitter.com/i/web/status/1107676125520715776,False
271180,Mauricio Macri sobre su padre: “Él era parte de un sistema extorsivo del kirchnerismo en el que para trabajar había… https://t.co/CtRupN2IFB,Mon Mar 18 19:05:06 +0000 2019,https://twitter.com/i/web/status/1107719592753934336,False
273208,Dice @RLavagna que Macri tiene miles de trolls que pagamos todos nosotros. Soy trol de Macri pero no cobro un centavo,Mon Mar 18 21:14:19 +0000 2019,,False
276551,“Él (Franco Macri) era parte de un sistema que se vio extorsionado por el kirchnerismo. Es un delito que cada uno s… https://t.co/61DLHRSG5k,Tue Mar 19 00:49:33 +0000 2019,https://twitter.com/i/web/status/1107806277214842884,False
283541,Yo que Macri convocó a Jorge Rial para cualquier cosa. Le pagó un sueldo irrechazable y luego lo expongo.,Tue Mar 19 15:21:51 +0000 2019,,False
295624,"@A24COM , Che mangas de fachos y voceros del régimen, nosotros le pagamos al corrupto y ladrón de Macri y no hace nada x la gran mayoría",Wed Mar 20 14:40:19 +0000 2019,,False
317244,@todonoticias Macri dijo que para trabajar el la época k había que pagar cometas y eso era un delito  aunque no había mucha opción!,Fri Mar 22 03:34:22 +0000 2019,,False
323555,Macri sobre el padre: “era parte de un sistema extorsivo del kirchnerismo en el que para trabajar había que pagar”… https://t.co/6t4AVXeWgB,Fri Mar 22 17:18:29 +0000 2019,https://twitter.com/i/web/status/1109142315304656896,False
456109,@Andres_Reig Afecta a trabajadores más pobres y a familias contratantes más pobres.El resto ya pagaba y cobraba más.,Sat Mar 02 07:48:39 +0000 2019,,False
665364,"@martinidemar Lo sádico es que ser autónomo sea pagar menos impuestos que ser cuenta ajena.Cuanto más se pagan las pensiones con impuestos,+",Sat Mar 30 08:51:24 +0000 2019,,False
729288,@CaroStanley @mauriciomacri Controla lo q pagas porque la plata es de los pocos que pagamos impuestos,Fri Mar 01 18:15:24 +0000 2019,,False
740569,"@TotyFlores @mauriciomacri Claro TOTY, pero como hacemos, demosle trabajo para que su dinero sea DIGNO",Fri Mar 01 20:52:10 +0000 2019,,False
747789,"@rialjorge @mauriciomacri Laburando, recibiendo dinero solo por el trabajo honesto, en blanco, pagando todos los impuestos, etc",Fri Mar 01 22:34:04 +0000 2019,,False
826442,@NosTapoElAgua Me están pasando ! No me pagan ! Estoy decepcionado... Dicen que el kirchnerismo pagaba muy bien...,Sat Mar 02 19:31:35 +0000 2019,,False
885560,@estebanoscar4 @mauriciomacri Debes cobrar planes sociales o un currito de los que laburamos todos los días. Mierda. Basura. Mantenido,Sun Mar 03 12:55:44 +0000 2019,,False
899616,@Mr_Roberto09 A veces hay q dar un paso d fe y pagaba mucho jaja,Sun Mar 03 16:16:41 +0000 2019,,False
933774,@calu0266 @mauriciomacri tenemos1pais endeudado y no hay como pagar xq todas las empresas como lpetrolera la arruinaron eso es el socialismo,Sun Mar 03 22:35:13 +0000 2019,,False
974733,"El Cine Futurama de Lindavista  era un éxito, pasó a manos del gobierno y ahora ahi no hay nada, los empleados  cobran sin hacer nada",Mon Mar 04 10:17:25 +0000 2019,,False
