Tweets,Fecha,urls,medios
"@globovision Globovisión de donde saco ese porcentaje, es al contario. Se quiere las elecciones de diciembre de libres y sin trampa.",Sun Mar 03 20:24:47 +0000 2019,,False
@maximuz_bsas @CFKArgentina Cuáles bóvedas?,Sun Mar 03 22:12:53 +0000 2019,,False
"Financiación del proceso electoral.
#Elecciones2019: Se reunió el Tribunal Electoral Provincial y acordó el criteri… https://t.co/IeAIxyPXJ9",Mon Mar 04 00:00:01 +0000 2019,https://twitter.com/i/web/status/1102357994468044800,False
Que sean fotocopias u originales es secundario.Todos sabemos que hay coimas en la #ObraPública Lo que importa son j… https://t.co/BEB6PVbkLN,Mon Mar 04 03:19:33 +0000 2019,https://twitter.com/i/web/status/1102408209652989952,False
Que no le me olvide inscribir la cédula en un puesto cerquita a la casa ;) https://t.co/necxtDD7la,Mon Mar 04 03:42:34 +0000 2019,http://www.participacionbogota.gov.co/bogota-contara-con-174-puestos-de-votacion-adicionales-para-la-elecciones-2019,False
@CuyanoDelSur @diegocabot Testimonios de un fiscal que los amenaza con meterlos presos si no implican a CFK y encima les cobra coimas 😉😘,Mon Mar 04 04:28:29 +0000 2019,,False
@SusoPenelas Me temo que quienes pagan impuestos trimestralmente y quienes declaran el IRPF pronto ya estarían bien… https://t.co/e0eTrZ6vK6,Mon Mar 04 09:56:12 +0000 2019,https://twitter.com/i/web/status/1102508030216863744,False
@AmandaReturns Porque Franco Macri fue cómplice de los K por ejemplo en el Correo. Permitieron una deuda no indexad… https://t.co/Z1shk7zxRX,Mon Mar 04 11:46:19 +0000 2019,https://twitter.com/i/web/status/1102535739307446272,False
Un estudio demuestra el fraude electoral en las elecciones del 21D en Cataluña https://t.co/OzVRWhwPo2 vía @diario_16,Mon Mar 04 16:16:40 +0000 2019,https://diario16.com/un-estudio-demuestra-el-fraude-electoral-en-las-elecciones-del-21d-en-cataluna/,False
"No, es el método para poder hacer un guardadito, para la  elecciones, tener control de los padrones de beneficiados… https://t.co/BUYrz9Stvq",Mon Mar 04 16:57:07 +0000 2019,https://twitter.com/i/web/status/1102613954805751808,False
"El padrón para este proceso, conforme a Estatutos, será elaborado por las Directivas Departamentales y será entrega… https://t.co/h1RsuPMpgZ",Mon Mar 04 17:34:10 +0000 2019,https://twitter.com/i/web/status/1102623279154716673,False
A los apoderados y socios. 📣 Se acercan las elecciones del #CPA ! Una instancia para elegir a sus representantes an… https://t.co/vSzhisRKbr,Mon Mar 04 19:58:55 +0000 2019,https://twitter.com/i/web/status/1102659706684915713,False
"@ratakmonodosico Era plata de privados, de los pueblos, le robaron directamente al interior profundo que tanto plac… https://t.co/tuuvKJ5P2k",Mon Mar 04 23:54:22 +0000 2019,https://twitter.com/i/web/status/1102718959432945664,False
"@hernanlirio Fuente del supue$to periodi$ta: 
Cristina K y sus cheques a la orden.",Tue Mar 05 00:06:06 +0000 2019,,False
"@e_scribbler ""Esto'muchacho'"" plantean pagar la deuda de macri con el  fmi. Votalos vos",Tue Mar 05 00:12:18 +0000 2019,,False
@carod2015 @germanfermo Indultarlos es una invitación a seguir robando. Si hay condenas de cumplimiento efectivo lo… https://t.co/koxEyP9Ish,Tue Mar 05 00:25:43 +0000 2019,https://twitter.com/i/web/status/1102726851527671808,False
@viviven2015 @claritalomm_ @la_nainti_nain Informe de los chantas de la UCA. bajale un millón o subile un millón… https://t.co/KXGHiyMksJ,Tue Mar 05 00:40:04 +0000 2019,https://twitter.com/i/web/status/1102730460059316225,False
"@martin_caparros Cierto que los datos del Gobierno de CFK los media el INDEC de Moreno, ya está todo dicho.",Tue Mar 05 02:45:28 +0000 2019,,False
@martin_caparros Cfk coptó todo organismo de estadísticas. Te basas en datos fraudulentos. Y además que te import e… https://t.co/Pq2vinaJFB,Tue Mar 05 12:53:20 +0000 2019,https://twitter.com/i/web/status/1102914995493441540,False
"Sueldos en cuotas, gobernador y todo el gabinete mas diputados en listado de coimeros con cheque no a la orden, sac… https://t.co/ibDNWv0IoY",Tue Mar 05 13:54:57 +0000 2019,https://twitter.com/i/web/status/1102930502795907074,False
"Indra contará los votos en las próximas elecciones del
#28Abril

Indra ningunea a Hacienda y no firma un código de… https://t.co/qy3yMI3nxz",Tue Mar 05 16:08:47 +0000 2019,https://twitter.com/i/web/status/1102964182851424256,False
"@PSOE , @sanchezcastejon resulta muy raro que Indra, que financió al PP, sea quien haga el recuento de votos de las próximas elecciones, no?",Tue Mar 05 16:51:00 +0000 2019,,False
"@Lapelo1 @David_iure Es que Indra cuenta los votos de las elecciones, que los tienen ya metidos en las maquinitas a… https://t.co/nftLUtWMu6",Tue Mar 05 19:11:59 +0000 2019,https://twitter.com/i/web/status/1103010283390414848,False
"Si quieren, puede hacer papel picado a los cuadernos o a sus fotocopias..., las declaraciones de Manzanares, Contad… https://t.co/i0OsnLeb7W",Tue Mar 05 23:51:40 +0000 2019,https://twitter.com/i/web/status/1103080671004844032,False
@hernanea @elbosnio Y en las cuentas de Nilda y Kirchner Jr. Tambien lo engañaron fue ls misma fuente o lo toman de boludo??????,Wed Mar 06 03:18:35 +0000 2019,,False
"@edufeiok @mauriciomacri Ponga a trabajar a los servicios secretos, CFK tiene que estar PRESA...",Wed Mar 06 09:54:45 +0000 2019,,False
"Esa denuncia de la CC contiene las desgrabaciones de las conversaciones telefónicas de Roberto Baratta, exmano dere… https://t.co/TF7T1WFkLR",Wed Mar 06 11:52:40 +0000 2019,https://twitter.com/i/web/status/1103262115882827776,False
@choryvigo @malditobulo Las mesas cuentan los votos y firman un acta con los resultados. Indra recibe todas esas ac… https://t.co/BA21Jjtpw7,Wed Mar 06 12:36:24 +0000 2019,https://twitter.com/i/web/status/1103273119853232128,False
"La causa de los cuadernos de las coimas es ""una oportunidad de oro"", y disparó: ""Si sale bien, y hay una sentencia… https://t.co/TWGpQhfLWb",Wed Mar 06 13:59:38 +0000 2019,https://twitter.com/i/web/status/1103294068245835776,False
"En su presentación ante la Justicia Miguez denunciará los delitos de asociación ilícita, defraudación al Estado y l… https://t.co/X1KGIPONr5",Wed Mar 06 14:36:39 +0000 2019,https://twitter.com/i/web/status/1103303383040098308,False
"Voy al banco ICBC a retirar una chequera, en la pizarra leo: Dólar 41.75. Vamos Macri todavía.....LPMQTP",Wed Mar 06 15:05:24 +0000 2019,,False
@MuySuFrida El padrón será solamente como dato para próximas elecciones. Cuidado,Wed Mar 06 16:18:49 +0000 2019,,False
@SoyBrigitteTw Saleel dinero de la cuota sindical y los balances se presentan IGj.Ahora las mentiras de macri y vid… https://t.co/9ijJEkhUmi,Wed Mar 06 17:46:42 +0000 2019,https://twitter.com/i/web/status/1103351209522589697,False
Una empresa que financió ilegalmente al PP va a ser la encargada del recuento de votos de las próximas elecciones.… https://t.co/EefBKbWTOd,Wed Mar 06 18:13:58 +0000 2019,https://twitter.com/i/web/status/1103358072448339968,False
"Así es, es un delito... Pero ahora tienen el Padrón de Beneficiarios y su propio ""padrón"" : el que han levantado po… https://t.co/09ZCPJYkLR",Wed Mar 06 18:29:30 +0000 2019,https://twitter.com/i/web/status/1103361983062134785,False
@vasudevakamaswa Los Panamá papers vs el escándalo Muñoz secretario de NK y CFK. El correo vs las coimas de la obra… https://t.co/IyPUY7TMI7,Wed Mar 06 19:55:34 +0000 2019,https://twitter.com/i/web/status/1103383640363409409,False
"@tanoproductor Ya leo el titulo: """"Operador"" de medio K sería el capitán del navío de caudales que depositaba los P… https://t.co/BTQrZKpUaT",Wed Mar 06 19:56:57 +0000 2019,https://twitter.com/i/web/status/1103383987437871107,False
"cuadernos, carpetas,listas negras,seguimiento de opositores,enemigos existieron todos los tiempos,o como registro d… https://t.co/j8du6ia77J",Thu Mar 07 00:52:43 +0000 2019,https://twitter.com/i/web/status/1103458419309248512,False
@jguaido Crear una pagina para las juntas electorales de los consejos comunales elecciones el 12/03 para manejo de las ayudas H.,Thu Mar 07 10:08:01 +0000 2019,,False
@joseloarg @andy_tow @elisacarrio Yo soy uno de los que dice que si hay quien cobre coimas es por que hay empresari… https://t.co/2wLLoPw7ev,Thu Mar 07 12:33:26 +0000 2019,https://twitter.com/i/web/status/1103634760520425473,False
"""En el causa, impulsada por operadores K para hacer caer la principal investigación de coimas durante el gobierno d… https://t.co/7ZiKRp8VgG",Thu Mar 07 14:13:53 +0000 2019,https://twitter.com/i/web/status/1103660040945369088,False
"Si el núcleo duro de CFK no se mueve ni con la confesión de su contador, de sus ministros,secretarios y secretarios… https://t.co/eWDgNtP6oH",Thu Mar 07 16:32:06 +0000 2019,https://twitter.com/i/web/status/1103694822660018176,False
"Alguien tiene, de la deuda que tomó MM, el desglose de cuánto fue a pagar Holdouts, cuánto otras deudas documentada… https://t.co/ZBdVwdaAKn",Thu Mar 07 16:59:01 +0000 2019,https://twitter.com/i/web/status/1103701596318375942,False
Hacienda reconoce “problemas jurídicos” para poder actualizar las entregas a cuenta sin pge antes de las elecciones… https://t.co/PbklXtKDl5,Thu Mar 07 17:30:12 +0000 2019,https://twitter.com/i/web/status/1103709445824147458,False
La CSJN confirmó el procesamiento de CFK... Por el memorandum con IRÁN...,Thu Mar 07 18:46:04 +0000 2019,,False
@valbuena_gilma @angelamrobledo @DELAESPRIELLAE Si habla de robo en las elecciones presumo que debe contar con un e… https://t.co/SimvbtlW59,Thu Mar 07 19:51:01 +0000 2019,https://twitter.com/i/web/status/1103744883871887360,False
"""Cuadernos de las coimas""que son fotocopias no autenticadas, escritos en 1 hotel 5⭐️""Dólar futuro""  o ""Memorándum c… https://t.co/BoYqvGLyOO",Thu Mar 07 19:56:39 +0000 2019,https://twitter.com/i/web/status/1103746300040892418,False
@Agrim_QVD @EncuestasARGokk @Fachazzi ¿qué gestionó Macri?,Thu Mar 07 20:16:57 +0000 2019,,False
"@halconada El correo.los Panama Paper la guita no declarada,todas las mentiras de Macri y Vidal que van hacer?",Thu Mar 07 22:41:58 +0000 2019,,False
"Marcelo, no tenemos credito. Xq macri massa y bossio pusieron impuesto a la renta financiera, impuesto al credito,… https://t.co/KFWnnXdWrh",Thu Mar 07 23:39:17 +0000 2019,https://twitter.com/i/web/status/1103802330728841218,False
@ktikariza Cuantas firmas se necesitan para pedir elecciones de presidente por propaganda engañosa en campaña.,Fri Mar 08 00:56:06 +0000 2019,,False
"@VivianCaruso3 La plata de los bolsos de López, llega de EEUU a la cuenta del tesorero de Boca que es hombre de Mac… https://t.co/kJzELJ9Vn2",Fri Mar 08 01:17:29 +0000 2019,https://twitter.com/i/web/status/1103827040380309504,False
Los delitos de fraude fiscal y bancario por los que se le condena salieron a la luz durante la investigación del fi… https://t.co/NypIDKRSQZ,Fri Mar 08 01:20:04 +0000 2019,https://twitter.com/i/web/status/1103827691936120833,False
"@adribatesther Hay un señor diciendo que cfk no está nombrada en las fotocopias.
Pero si hay indicios de coimas y n… https://t.co/mPNnVrB6cp",Fri Mar 08 01:31:10 +0000 2019,https://twitter.com/i/web/status/1103830485573226498,False
"@VivianCaruso3 La deuda a 100 años. es para pagar la fuga, la bicicleta y el blanqueo de macri y sus amigos. Mucho TN ...",Fri Mar 08 01:24:27 +0000 2019,,False
"💩...habla de la fortuna de millones de dólares que robaron con aportantes truchos,las coimas de los corruptos ladro… https://t.co/JaLCHmU6mG",Fri Mar 08 01:23:50 +0000 2019,https://twitter.com/i/web/status/1103828637944606720,False
"@cuervotinelli Y eso que vos evadís impuestos, cargas patronales y lavas guita de tus socios. Mas allá de algún que… https://t.co/IY217ehtvK",Fri Mar 08 01:54:00 +0000 2019,https://twitter.com/i/web/status/1103836230272385025,False
"@ecuanimusjustus ""Si para las próximas elecciones los aportes se le consignan en bancos o se llevan en bolsas?""",Fri Mar 08 02:12:22 +0000 2019,,False
"El fiscal sospechado por extorsión y manipulación de la ""causa cuadernos"" no se presentó a indagatoria, mientras qu… https://t.co/v167x2tZAC",Fri Mar 08 02:18:00 +0000 2019,https://twitter.com/i/web/status/1103842270233673728,False
"Año electoral, socios kirchneristas que se robaron todo por 12 años complicados judicialmente como CFK, PJ y gremio… https://t.co/UpKWv6Krsr",Fri Mar 08 02:41:12 +0000 2019,https://twitter.com/i/web/status/1103848111590572032,False
"@epigmenioibarra La verdadera medición y/o aprobación serán las elecciones. Veremos y si desaparecen, qué le hacemos",Fri Mar 08 02:46:04 +0000 2019,,False
"@FernandoLapadu1 @Apuntes_ Sólo decime Fer cuanta deuda tomo Macri desde que asumió y cuanta pagó.
Simple lo q pido",Fri Mar 08 02:47:04 +0000 2019,,False
"@elisacarrio ...""Condenada Cristina y sus hijos""en la causa de los cuadernos el fiscal""coimero cagon extorsionador… https://t.co/TJMjSrO73a",Fri Mar 08 11:06:05 +0000 2019,https://twitter.com/i/web/status/1103975167582187520,False
"Hacienda reconoce ""problemas jurídicos"" para poder actualizar las entregas a cuenta sin pge antes de las elecciones… https://t.co/WLKnmN2mKl",Fri Mar 08 11:15:04 +0000 2019,https://twitter.com/i/web/status/1103977428773466114,False
@HassNassar @portilla_43 Preguntale a Uribe y duque q se reunieron con el registrador antes de las elecciones 🤔,Fri Mar 08 13:07:58 +0000 2019,,False
"@hoypy Que boludes biblica¡¡ vamos a pagar a  evasores del IRP de mas de 65 años que son mas del 99,9%¡¡ Voy a reza… https://t.co/Ysni9KJ5AP",Fri Mar 08 16:44:22 +0000 2019,https://twitter.com/i/web/status/1104060301119553537,False
"@emandeb @teveoregistrado El tarifazo también es transferencia de los salarios a las cuentas de los dueños de las empresas (Macri,Caputo)",Fri Mar 08 17:09:48 +0000 2019,,False
@turquitosam Los de Cristina estan todos en su declaracion jurada de bienes. Patrominio audita 10 veces ppr los per… https://t.co/EOX8py0XSo,Fri Mar 08 17:24:02 +0000 2019,https://twitter.com/i/web/status/1104070282355052545,False
"Ingresen donde? Al bolsillo de los megasojeros? Xq no tienen obligación de liquidarlos en el BCRA
Up... Macri lo hi… https://t.co/nmKwlNVfiZ",Fri Mar 08 17:57:58 +0000 2019,https://twitter.com/i/web/status/1104078821467320320,False
"1) Bertone no dá nada, no es patrona de estancia. La ley dispone y los fondos salen de los impuestos de los que tra… https://t.co/jmJ8OWsDAA",Fri Mar 08 18:20:13 +0000 2019,https://twitter.com/i/web/status/1104084420917641216,False
"@1973Valeria @Mauric_macri Listo Val, denunciado y block",Fri Mar 08 18:24:37 +0000 2019,,False
@GFrondizi @Mauric_macri @Twitter denuncie la cuenta y cada uno de sus posteos,Fri Mar 08 18:45:08 +0000 2019,,False
@1973Valeria @Mauric_macri Listo val denunciado y block!,Fri Mar 08 19:53:53 +0000 2019,,False
"@todonoticias léase, Hice guita con cristina sin pagar impuestos, ahora tengo que pagar. Macri gato.",Fri Mar 08 21:20:15 +0000 2019,,False
@joseantoniokast Anotar estos datos para el momento de las elecciones.,Fri Mar 08 21:35:13 +0000 2019,,False
Pregunto ustedes que saben: cuánto sale un sello como el de asseff como el que pagaron Magario CFK? En serio lo pregunto,Fri Mar 08 22:34:28 +0000 2019,,False
@agusnantes Haces un PFP... validadas una deuda y cha channnn te lo confecciona por otra del año del pedo que CCMA… https://t.co/MCR6XKL6Qt,Sat Mar 09 00:13:50 +0000 2019,https://twitter.com/i/web/status/1104173412040302592,False
"El pacto por la transparencia

En un documento notariado quedó plasmada la firma de varios precandidatos a la Alcal… https://t.co/F7yZBIQkoW",Sat Mar 09 00:30:00 +0000 2019,https://twitter.com/i/web/status/1104177479197966341,False
@BocaFloyd Es increíble si pagan esto Cuanto pagarán un voto en las elecciones también dolarizado ?,Sat Mar 09 03:04:20 +0000 2019,,False
@Apuntes_ También en vencimiento de capital. Vos @tanomalic tenés los números de cuánto de pago de vencimientos de… https://t.co/3gyPLlb15M,Sat Mar 09 03:17:48 +0000 2019,https://twitter.com/i/web/status/1104219706964217857,False
Sres @vodafone_es no me han dicho nada a mi consulta. Díganme cuando va s estar mi dinero abonado en la cuenta por… https://t.co/UFWPNFtOuD,Sat Mar 09 10:50:40 +0000 2019,https://twitter.com/i/web/status/1104333675922104321,False
"@Lolagain3 @AmandaReturns CFK quiere instalar que es todo trucho, lástima que hasta su propio contador confesó. Ni prestarle atención",Sat Mar 09 12:38:27 +0000 2019,,False
"@enriquegamarra #TratoApuá (fotografiado comprando CI frente a local de votaciones, en día de elecciones) le cederá… https://t.co/LX5kz397IK",Sat Mar 09 14:56:22 +0000 2019,https://twitter.com/i/web/status/1104395506707558401,False
@PeritoPeroncho Ahí Macri deposita los intereses en monedas de lo que le debe al estado por Correo argentino.,Sat Mar 09 15:43:37 +0000 2019,,False
"Si soplás un poquito, en cada acto de corrupción, aparece macri o algún amigo suyo, y con pruebas y datos corrobora… https://t.co/CICkkIhAqC",Sat Mar 09 15:46:37 +0000 2019,https://twitter.com/i/web/status/1104408152928325632,False
"@Varenikech @wwnicolas el blanqueo de millones por parte de socios, testas y familiares de Macri, por ejemplo, para… https://t.co/0syA5eQSAX",Sat Mar 09 17:23:31 +0000 2019,https://twitter.com/i/web/status/1104432537932320768,False
"@pnique @policia Zumbao, verás el día de las elecciones los datos reales.",Sat Mar 09 17:59:23 +0000 2019,,False
"@CarpioPoly @cyngarciaradio Si el encubrimiento del memorándum con IRAN, de los bienes de CFK y NK. Del asesinato de Nisman, etc, etc, etc.",Sat Mar 09 18:43:22 +0000 2019,,False
"@margesan07 @MetalFreak_87 Hay alizo,que hacer firmar la planilla por las autoridades de mesa, sacarle una foto con… https://t.co/oOJFvU62UW",Sat Mar 09 19:34:31 +0000 2019,https://twitter.com/i/web/status/1104465507372150784,False
"Sr. Fermo, en los 74 años que nos robaron, mencionado x ud., incluya a la flia. Macri, y el evasor sionista, Dujovn… https://t.co/xlW9MDwXhP",Sat Mar 09 21:59:48 +0000 2019,https://twitter.com/i/web/status/1104502069082443777,False
